ITEMNAME,sales_channel,unit_weight
EP GEAR LUBE S-320A   500G TOTE,NON-DISTRIBUTION,4502.665
PERLUBE S-2      55GL DRUM,NON-DISTRIBUTION,367
400 QUENCH OIL     1249L/330G,NON-DISTRIBUTION,2376
CIMPULSE 53MP     5G / 19L PINK PLASTIC PAIL,NON-DISTRIBUTION,41
GX DRAW 7390-P     55GL DRUM,NON-DISTRIBUTION,518
FOAMOUT 30     5GLPL,NON-DISTRIBUTION,42
CIMVANTAGE CSS-NR3     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,460
PERLUBE WL-68-D      5GLPL,NON-DISTRIBUTION,38
ACCUCUT 121G      250G TOTE,NON-DISTRIBUTION,1818
PERLUBE AW-68-T       55GL DRUM,NON-DISTRIBUTION,398
UNI-HARD IR     400 LB   FDR,NON-DISTRIBUTION,400
2100 NON-STAINING MIST OIL   250G TOTE,NON-DISTRIBUTION,1932.3317477430555
PERLUBE AW-100-S      55GL DRUM,NON-DISTRIBUTION,405
LITHIUM EP 0 GREASE (MOBILUX EP 0)   5G PAIL,NON-DISTRIBUTION,21
COLZINC ACF II     208L/55G,NON-DISTRIBUTION,473
BLUE STAR GL 8000/320     330G TOTE (10),NON-DISTRIBUTION,2410
PERDRAW 9947     1041L/275G,NON-DISTRIBUTION,2426
6243-22 - SEMI-SYN VAC-PUMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,389
6045-68 - SEMI-SYN 4000HR COMP LUBE [BL]   1GL 4X1 CASE BLK,NON-DISTRIBUTION,28.8
GF PHOS 241DS     55G DRUM,NON-DISTRIBUTION,570
LAB OIL 100WT     208L/55G,NON-DISTRIBUTION,431
WETAID 1559     18.9L/5G,NON-DISTRIBUTION,40
ACCUDRAW 21334     55G DRUM,NON-DISTRIBUTION,451
PERKOTE 30-248     1249L/330G TOTE,NON-DISTRIBUTION,2169
SYNTHETIC GEAR OIL 68   5G PAIL,NON-DISTRIBUTION,37.63240714285714
PERKUT 221-G      55GL DRUM,NON-DISTRIBUTION,420
2057-46 - MIN-OIL VAC-PUMP FLUID   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
TROJAN 46 AW ULTRA CLEAN   500G TOTE,NON-DISTRIBUTION,4281.030488372091
PERKOOL 4110-V      55GL PL DRUM,NON-DISTRIBUTION,456
CIMPERIAL 861     5G / 19L PINK PLASTIC PAIL (NET),NON-DISTRIBUTION,41
BEL AIR MB-4     250G TOTE,NON-DISTRIBUTION,2095
IPI-25A     1249L/330GL TOTE,NON-DISTRIBUTION,3125
PERCHEM 4000       55GL DRUM,NON-DISTRIBUTION,451
LC-1046-200     BULK GALLONS,NON-DISTRIBUTION,8.408500000000002
4584-68 - SYN FR FG HYDR FLUID   330GL TOTE,NON-DISTRIBUTION,2390
4425-170 - NXT POE - RC OIL   1GL 4X1 CASE BLK,NON-DISTRIBUTION,32
TRANSIT-JEL       208L/55G,NON-DISTRIBUTION,487
FORKLIFT EXCHANGE MAST SLIDE LUBE     CASE-12   (FLE006),NON-DISTRIBUTION,20
ASSURANCE 6658     18.9L/5G,NON-DISTRIBUTION,44
CIMSTAR 40F PINK     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,485
6042-52 - RUN-CLEAN AIR COMP LUBE   5GL PAIL BLK,NON-DISTRIBUTION,36
PERDRAW 2512-R      330GL PL TOTE,NON-DISTRIBUTION,2647
PERKLEEN 1225      5GLPL,NON-DISTRIBUTION,44
SURTEC 650 CHROMITAL TCP     208L/55G,NON-DISTRIBUTION,461
GF SEAL 300NCS      15G DRUM,NON-DISTRIBUTION,143
CHEM ALUM SEAL 1090     208L/55G,NON-DISTRIBUTION,493
2243-100 - MIN-OIL AW HYDR FLUID   5GL PAIL BLK,NON-DISTRIBUTION,36
BLUE STAR XP 9900/460-1     3500# TOTE BULK,NON-DISTRIBUTION,1
LC-5025     BULK GALLONS,NON-DISTRIBUTION,10.492199999999999
ROCKCUT 112   55G/208L DRUM,NON-DISTRIBUTION,407.21424
SPECTRALINK      1249L/330G,NON-DISTRIBUTION,2754
SB-173 5082 STRIP THINNER   55G DRUM,NON-DISTRIBUTION,408.3526
ACCUCOOL 7045     946L/250G TOTE,NON-DISTRIBUTION,1951
GF PHOS 231DS      55G DRUM,NON-DISTRIBUTION,530
CIMTECH SC 111     55G / 208L PINK STEEL DRUM (NET),NON-DISTRIBUTION,479
POLYDRAW 3000      208L/55G,NON-DISTRIBUTION,422
TECHNISTRIP SOLDER OFF     55G DRUM,NON-DISTRIBUTION,512
6321-32 - OEM PAGR AIR COMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,401
ROCKWAY 68-S   275G/1040L TOTE,NON-DISTRIBUTION,2298.5743272727273
P-140     5G PAIL,NON-DISTRIBUTION,40
PERLUBE ATF      55GL DRUM,NON-DISTRIBUTION,396
PERKOOL 9745-CP      5GLPL,NON-DISTRIBUTION,43
TECHNICLEAN F 1414     55G DRUM,NON-DISTRIBUTION,493
2399-100 - CALDERA 5 - FG HF HTF   55GL DRUM,NON-DISTRIBUTION,398
2399-100 - CALDERA 5 - FG HF HTF   5GL PAIL BLK,NON-DISTRIBUTION,36
PERKOTE 30-266-C      55GL DRUM,NON-DISTRIBUTION,365
NUVAT CLASSIC     400 LB   FDR,NON-DISTRIBUTION,400
6043-46 - SEMI-SYN COMP LUBE   55GL DRUM BLK,NON-DISTRIBUTION,397
PERLUBE EP-122      BULK GALLONS,NON-DISTRIBUTION,7.416899999999999
2245-46 - SEMI-SYN FG AW HYDR    5GL PAIL WH,NON-DISTRIBUTION,36
2399-100 - CALDERA 5 - FG HF HTF   275GL TOTE,NON-DISTRIBUTION,1989
H137 FORM OIL      55GL DRUM,NON-DISTRIBUTION,401
6043-46 - SEMI-SYN COMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,29
4169-68 - AC SYSTEM PERF ENHANCER [UV]   55GL DRUM BLK,NON-DISTRIBUTION,401
WASH & SHINE CONCRETE REMOVER     55G DRUM,NON-DISTRIBUTION,517
6035-100 - DIESTER HP-BA COMP LUBE [BL]   1GL 4X1 CASE BLK,NON-DISTRIBUTION,30
PERLUBE WL-68      BULK GALLONS,NON-DISTRIBUTION,7.3566
2199-22 - CALDERA 16-LV - HTF & CLN   55GL DRUM GRN,NON-DISTRIBUTION,403
ALPET D2      50GL DRUM,NON-DISTRIBUTION,371.4
PERLUBE EP-220-GX      55GL DRUM,NON-DISTRIBUTION,410
PERLUBE WL-32      5GLPL,NON-DISTRIBUTION,37
COAGULITE 1151     1041L/275G TOTE,NON-DISTRIBUTION,2700
SPECTRAMATE 25     208L/55G,NON-DISTRIBUTION,582
ACCUDRAW M      55G DRUM,NON-DISTRIBUTION,482
ROCKWAY 220-S   55G/208L DRUM,NON-DISTRIBUTION,457.15106874999975
EP 68      55GL DRUM,NON-DISTRIBUTION,402
PERLUBE EP-2     400LB DRUM,NON-DISTRIBUTION,400
PERKLEEN 1241-FM      55GL PL DRUM,NON-DISTRIBUTION,486
CIMTECH 46C     55G / 208L PINK STEEL DRUM,NON-DISTRIBUTION,497
STAR CLEAN 1153     1249L/330G TOTE,NON-DISTRIBUTION,2842
6067-100 - DIESTER VAC-PUMP LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,30
6321-46 - OEM PAGR AIR COMP LUBE   5GL PAIL BL,NON-DISTRIBUTION,37
PERDRAW 2524    5GL PAIL,NON-DISTRIBUTION,43
4425-68 - NXT POE - RC OIL   1GL 4X1 CASE BLK,NON-DISTRIBUTION,31
TECHNILLOY ZN NI 5500     55G DRUM,NON-DISTRIBUTION,540
D-SPERSE-X      18.9L/5G,NON-DISTRIBUTION,44
TECHNIBRITE NI 545 TM     55G DRUM,NON-DISTRIBUTION,497
GX CLEAN 5787U     208L/55G DRUM,NON-DISTRIBUTION,523
ACCUCOOL 7044D      55GL DRUM,NON-DISTRIBUTION,447
