ITEMNAME,sales_channel,mapped_pack_size,anchor_pack,pl1,pl2,pl3,pl4,segment_enterprise_anchor_target_price,segment_a_anchor_target_price,segment_b_anchor_target_price,segment_c_anchor_target_price,segment_d_anchor_target_price,anchor_book_price_per_weight,anchor_floor_price_per_weight,p10,p20,p30,p40,p50,p60,p70,p80,p90
SECURE GARD 2120      1249L/330G,NON-DISTRIBUTION,TOTE,TOTE,SURFACE FINISHING,PAINTABLE PRETREATMENT,SECURE,SECURE GARD 2120,1.982775282663317,1.982775282663317,1.982775282663317,1.982775282663317,1.982775282663317,2.077193153266332,1.1586156485552765,2.027531407035176,2.027531407035176,2.0883574120603017,2.0883574120603017,2.0883574120603017,2.0883574120603017,2.0883574120603017,2.0883574120603017,2.0883574120603017
VALRUST 1315   275G TOTE,NON-DISTRIBUTION,TOTE,TOTE,METAL PROTECTION,NON-SYNTHETIC,VALRUST,VALRUST 1315,2.1185341314314825,2.1185341314314825,2.1185341314314825,2.1185341314314825,2.1185341314314825,2.219416709118696,1.2116293837731051,1.9710527701526308,1.9710527701526308,1.9710528147750292,1.9710528147750292,1.9710528147750292,1.9710528147750292,1.9710528147750292,1.9710528147750292,2.217651553744269
BHS SD 20     2640LB TOTE,NON-DISTRIBUTION,TOTE,TOTE,"Speciality, Food",Defoamers,BHS SD,BHS SD 20,1.8406367623811686,1.8406367623811686,1.8406367623811686,2.0357059174624825,2.0357059174624825,2.0357059174624825,1.8406367623811686,1.576969696969697,1.576969696969697,1.576969696969697,1.576969696969697,1.576969696969697,1.576969696969697,1.576969696969697,1.576969696969697,1.576969696969697
TECHNIGUARD F 1130 M     55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,METAL PROTECTION,SYNTHETIC,TECHNI,TECHNIGUARD F 1130 M,0.6741245136186771,0.6741245136186771,0.6741245136186771,0.6741245136186771,0.6741245136186771,0.7062256809338523,0.45931212556358475,0.642023346,0.642023346,0.642023346,0.642023346,0.642023346,0.642023346,0.642023346,0.642023346,0.642023346
ALTRABRITE H 90      55G DRUM,NON-DISTRIBUTION,DRUM,TOTE,INDUSTRIAL CLEANERS,ALKALINE CLEANERS / DESCALERS,ALTRA,ALTRABRITE H 90,1.9485015844273426,2.0270909708151628,2.4567091364490063,2.5683777335603244,2.5683777335603244,2.5683777335603244,1.6983113287289886,2.0698559670781895,2.079897119341564,2.079897119341564,2.079897119341564,2.2480246913580246,2.525411522633745,2.527613169,2.809753086419753,3.3294032921810697
2032-460 - SYN EP GEAR LUBE   1GL 4X1 CASE BLK,NON-DISTRIBUTION,SMALL,SMALL,LUBRICANT,MAINTENANCE,ISEL,2032 SYN EP Gear Lube ISO 460,5.475,5.475,5.475,5.475,6.174,6.174,2.112305435897436,5.475,5.475,5.475,5.475,5.475,5.475,5.475,5.475,5.475
SCALE KLEEN SOLUTION     BULKTANKER,NON-DISTRIBUTION,BULK,BULK,HEAT TREATING SALTS,CLEANING AND DESCALING,SCALE KLEEN,SCALE KLEEN SOLUTION,0.4625586353944561,0.4625586353944561,0.4625586353944561,0.4625586353944561,0.4625586353944561,0.48458523707990664,0.2572359853611062,0.440532034,0.440532034,0.440532034,0.440532034,0.440532034,0.440532034,0.440532034,0.440532034,0.44053203370900607
PERLUBE AW-10     55GL DRUM,NON-DISTRIBUTION,DRUM,DRUM,LUBRICANT,MAINTENANCE,PER,PERLUBE AW-10,1.825,2.040025641025641,2.040025641025641,2.1072307692307692,2.2150982758620685,2.2150982758620685,1.0619700536398466,1.742102564102564,1.742102564102564,2.025,2.025,2.240025641025641,2.240025641025641,2.240025641025641,2.3072307692307694,2.3072307692307694
PERLUBE SYN-GO-68      55G DRUM,NON-DISTRIBUTION,DRUM,DRUM,LUBRICANT,MAINTENANCE,PER,Perlube SYN GO 68,4.968055555555555,4.968055555555555,6.137202884054635,6.416166651511663,6.416166651511663,6.416166651511663,3.749111987913832,5.168055555555555,5.168055555555555,5.168055555555555,5.168055555555555,5.168055555555555,7.098409091,7.098409091,7.098409091,7.098409091
BLUE STAR XH 9600/400-1.5     BULK POUNDS   (21),NON-DISTRIBUTION,BULK,BULK,LUBRICANT,GREASE,BLUE,Blue Star XH 9600/400-1.5,3.092307692307692,3.092307692307692,3.092307692307692,3.092307692307692,3.092307692307692,3.2230000000000003,3.092307692307692,2.9299999999999997,2.9299999999999997,2.9299999999999997,2.9299999999999997,2.93,2.93,2.93,2.93,2.93
